transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
308,22,25,2,2,+,-1.5,1,2,2,+,-0.5,2,49.180999994277954,0.277
309,80,83,2,2,-,-1.5,1,2,2,-,-0.5,2,49.180999755859375,0.277
310,121,120,2,0,-,-0.5,2,2,0,-,0.5,2,-6.814000129699707,0.275
311,52,67,3,3,+,0.5,1,3,3,+,1.5,3,177.05999994277954,0.265
312,14,16,1,0,+,-0.5,2,1,0,+,0.5,3,19.729000002145767,0.262
313,60,50,3,3,+,1.5,2,3,3,+,2.5,1,-107.54399967193604,0.258
314,61,75,3,3,+,0.5,2,3,3,+,1.5,4,146.55699968338013,0.256
315,114,113,2,0,-,-0.5,1,2,0,-,0.5,1,-7.682000160217285,0.255
316,67,59,3,3,+,1.5,3,3,3,+,2.5,2,-86.8919997215271,0.242
317,16,12,1,0,+,0.5,3,1,0,+,1.5,2,-41.185000002384186,0.23
318,26,19,2,2,+,0.5,2,2,2,+,1.5,1,-63.680999994277954,0.228
319,84,77,2,2,-,0.5,2,2,2,-,1.5,1,-63.682000160217285,0.228
320,93,97,3,2,+,-3.5,1,3,2,+,-2.5,2,64.11199998855591,0.21
321,122,126,2,0,-,-1.5,2,2,0,-,-0.5,3,44.71400022506714,0.209
322,99,98,3,2,+,-1.5,2,3,2,+,-0.5,2,-0.03500032424926758,0.208
323,94,86,3,2,+,2.5,2,3,2,+,3.5,1,-90.89200019836426,0.204
324,74,67,3,3,+,0.5,4,3,3,+,1.5,3,-64.53600025177002,0.203
325,21,20,2,2,+,-0.5,1,2,2,+,0.5,1,-4.632000088691711,0.202
326,25,26,2,2,+,-0.5,2,2,2,+,0.5,2,0.5370000600814819,0.202
327,79,78,2,2,-,-0.5,1,2,2,-,0.5,1,-4.631999969482422,0.202
328,83,84,2,2,-,-0.5,2,2,2,-,0.5,2,0.5380001068115234,0.202
329,70,53,3,3,+,-1.5,3,3,3,+,-0.5,1,-177.17899990081787,0.188
330,127,114,2,0,-,-1.5,3,2,0,-,-0.5,1,-138.50699996948242,0.188
331,91,90,3,2,+,-1.5,1,3,2,+,-0.5,1,-3.9800000190734863,0.173
332,62,61,3,3,+,-0.5,2,3,3,+,0.5,2,-5.1529998779296875,0.172
333,89,95,3,2,+,0.5,1,3,2,+,1.5,2,79.99500036239624,0.172
334,99,90,3,2,+,-1.5,2,3,2,+,-0.5,1,-76.49399995803833,0.168
335,90,96,3,2,+,-0.5,1,3,2,+,0.5,2,76.32699966430664,0.167
336,53,52,3,3,+,-0.5,1,3,3,+,0.5,1,-6.468000411987305,0.167
337,115,128,2,0,-,-1.5,1,2,0,-,-0.5,4,155.25900030136108,0.163
338,72,62,3,3,+,-1.5,4,3,3,+,-0.5,2,-124.59999990463257,0.16
339,2,40,1,1,+,-0.5,1,2,1,+,0.5,2,1334121335.92,0.16
340,44,108,1,1,-,-0.5,1,2,1,-,0.5,2,1310169335.9200003,0.16
341,69,68,3,3,+,-0.5,3,3,3,+,0.5,3,-2.0920000076293945,0.158
342,51,66,3,3,+,1.5,1,3,3,+,2.5,3,181.94999980926514,0.144
343,97,91,3,2,+,-2.5,2,3,2,+,-1.5,1,-72.43499994277954,0.142
344,98,89,3,2,+,-0.5,2,3,2,+,0.5,1,-80.3420000076294,0.139
345,104,107,2,1,-,-1.5,1,2,1,-,-0.5,2,49.229000091552734,0.139
346,36,39,2,1,+,-1.5,1,2,1,+,-0.5,2,49.229000091552734,0.139
347,88,94,3,2,+,1.5,1,3,2,+,2.5,2,83.50600004196167,0.127
348,98,96,3,2,+,-0.5,2,3,2,+,0.5,2,-0.13199996948242188,0.127
349,108,101,2,1,-,0.5,2,2,1,-,1.5,1,-63.6560001373291,0.114
350,40,33,2,1,+,0.5,2,2,1,+,1.5,1,-63.65599989891052,0.114
351,91,98,3,2,+,-1.5,1,3,2,+,-0.5,2,72.47899961471558,0.109
352,103,102,2,1,-,-0.5,1,2,1,-,0.5,1,-4.5829997062683105,0.102
353,107,108,2,1,-,-0.5,2,2,1,-,0.5,2,0.6090002059936523,0.102
354,35,34,2,1,+,-0.5,1,2,1,+,0.5,1,-4.583000183105469,0.102
355,39,40,2,1,+,-0.5,2,2,1,+,0.5,2,0.6089999675750732,0.102
